estimatedTimeBeijing,actualIntervalMs,anomalyStatus,anomalyNote,source,index,integrityOk,bootSessionId,uptimeMs,windOk,airOk,soilOk,solar1Ok,solar2Ok,airPressureHpa,windVoltage,windSpeedMs,airTemperatureC,airHumidityPercent,soilTemperatureC,soilMoisturePercent,solar1Wm2,solar2Wm2
"=DATE(2026,7,30)+TIME(13,40,0)",,,,current,0,True,3906736965,120788,True,True,True,True,True,1009,0.0,0.0,38.11,55.29,34.1,12.5,19,81,
"=A2+IF(H3=H2,I3-I2,I3)/86400000","=IF(H3=H2,I3-I2,I3)",,,current,1,True,3906736965,421749,True,True,True,True,True,1010,0.0,0.0,37.95,55.0,34.2,13.5,21,86,
"=A3+IF(H4=H3,I4-I3,I4)/86400000","=IF(H4=H3,I4-I3,I4)",,,current,2,True,3906736965,722705,True,True,True,True,True,1010,0.0,0.0,38.39,54.93,34.1,13.5,46,150,
"=A4+IF(H5=H4,I5-I4,I5)/86400000","=IF(H5=H4,I5-I4,I5)",,,current,3,True,3906736965,1023666,True,True,True,True,True,1010,0.0,0.0,38.26,54.84,34.2,13.5,22,90,
"=A5+IF(H6=H5,I6-I5,I6)/86400000","=IF(H6=H5,I6-I5,I6)",,,current,4,True,3906736965,1324627,True,True,True,True,True,1010,0.016,0.429,37.94,54.65,34.1,13.5,13,52,
"=A6+IF(H7=H6,I7-I6,I7)/86400000","=IF(H7=H6,I7-I6,I7)",,,current,5,True,3906736965,1625634,True,True,True,True,True,1009,0.006,0.165,37.29,54.4,34.1,13.5,10,42,
"=A7+IF(H8=H7,I8-I7,I8)/86400000","=IF(H8=H7,I8-I7,I8)",,,current,6,True,3906736965,1926583,True,True,True,True,True,1010,0.0,0.0,37.09,54.21,34.1,13.5,12,46,
"=A8+IF(H9=H8,I9-I8,I9)/86400000","=IF(H9=H8,I9-I8,I9)",,,current,7,True,3906736965,2227538,True,True,True,True,True,1010,0.0,0.0,37.93,54.3,34.1,13.5,40,114,
"=A9+IF(H10=H9,I10-I9,I10)/86400000","=IF(H10=H9,I10-I9,I10)",,,current,8,True,3906736965,2528500,True,True,True,True,True,1009,0.0,0.0,37.5,54.22,34.1,13.5,7,31,
"=A10+IF(H11=H10,I11-I10,I11)/86400000","=IF(H11=H10,I11-I10,I11)",,,current,9,True,3906736965,2829467,True,True,True,True,True,1009,0.0,0.0,36.27,53.89,34.0,13.5,9,38,
"=A11+IF(H12=H11,I12-I11,I12)/86400000","=IF(H12=H11,I12-I11,I12)",,,current,10,True,3906736965,3130462,True,True,True,True,True,1009,0.0,0.0,35.47,53.58,33.9,13.5,9,42,
"=A12+IF(H13=H12,I13-I12,I13)/86400000","=IF(H13=H12,I13-I12,I13)",,,current,11,True,3906736965,3431427,True,True,True,True,True,1009,0.0,0.0,35.04,53.48,33.9,13.4,7,30,
"=A13+IF(H14=H13,I14-I13,I14)/86400000","=IF(H14=H13,I14-I13,I14)",,,current,12,True,3906736965,3732392,True,True,True,True,True,1009,0.0,0.0,34.67,53.37,33.8,13.4,4,18,
"=A14+IF(H15=H14,I15-I14,I15)/86400000","=IF(H15=H14,I15-I14,I15)",,,current,13,True,3906736965,4033359,True,True,True,True,True,1009,0.0,0.0,34.43,53.38,33.7,13.4,5,23,
"=A15+IF(H16=H15,I16-I15,I16)/86400000","=IF(H16=H15,I16-I15,I16)",,,current,14,True,3906736965,4334326,True,True,True,True,True,1009,0.0,0.0,34.34,53.42,33.6,13.3,6,25,
"=A16+IF(H17=H16,I17-I16,I17)/86400000","=IF(H17=H16,I17-I16,I17)",,,current,15,True,3906736965,4635294,True,True,True,True,True,1008,0.0,0.0,34.64,53.57,33.6,13.4,8,32,
"=A17+IF(H18=H17,I18-I17,I18)/86400000","=IF(H18=H17,I18-I17,I18)",,,current,16,True,3906736965,4936265,True,True,True,True,True,1009,0.0,0.0,35.01,53.74,33.5,13.3,13,47,
"=A18+IF(H19=H18,I19-I18,I19)/86400000","=IF(H19=H18,I19-I18,I19)",,,current,17,True,3906736965,5237236,True,True,True,True,True,1009,0.0,0.0,35.36,53.95,33.5,13.3,14,53,
"=A19+IF(H20=H19,I20-I19,I20)/86400000","=IF(H20=H19,I20-I19,I20)",,,current,18,True,3906736965,5538210,True,True,True,True,True,1009,0.0,0.0,35.52,54.02,33.4,13.3,17,64,
"=A20+IF(H21=H20,I21-I20,I21)/86400000","=IF(H21=H20,I21-I20,I21)",,,current,19,True,3906736965,5839188,True,True,True,True,True,1009,0.0,0.0,35.82,54.2,33.4,13.3,20,78,
